"P1","P2","P3","P4","P5","Team","Mins","PTS","oPTS","POSS","oPOSS","ePOSS","ORTG","DRTG","NETRTG","FG.","oFG.","TPP","oTPP","FTP","oFTP","eFG.","oeFG.","TS.","oTS.","RIM.","oRIM.","MID.","oMID.","TPrate","oTPrate","RIMrate","oRIMrate","MIDrate","oMIDrate","FTrate","oFTrate","ASTrate","oASTrate","TOrate","oTOrate","BLKrate","oBLKrate","ORB.","DRB.","PACE","ShotsPerPoss","oShotsPerPoss","FGA","oFGA","FGM","oFGM","TPA","oTPA","TPM","oTPM","FTA","oFTA","FTM","oFTM","RIMA","oRIMA","RIMM","oRIMM","ORB","oORB","DRB","oDRB","BLK","oBLK","TO","oTO","AST","oAST","Opponent"
"KERWIN.WALTON","KJ.SMITH","RYAN.MCADOO","WALKER.KESSLER","WALKER.MILLER","North Carolina",1.467,1,0,2,1,1.5,66.667,0,66.667,0,0,0,0,0.5,0,0,0,0.256,0,0,0,0,0,0,0.75,1,0.25,0,0,2,0,0,0,0.5,0.5,0,0,0.5,0,29.333,1,4,1,4,0,0,0,3,0,0,2,0,1,0,1,1,0,0,1,4,0,1,0,0,1,1,0,0,"UNLV"
"KERWIN.WALTON","PUFF.JOHNSON","RYAN.MCADOO","WALKER.KESSLER","WALKER.MILLER","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNLV"
"PUFF.JOHNSON","RJ.DAVIS","RYAN.MCADOO","WALKER.KESSLER","WALKER.MILLER","North Carolina",0.683,3,5,1,2,1.5,200,333.333,-133.333,1,1,1,1,0,1,1.5,1.5,1.5,1.282,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13.667,1,1,1,1,1,1,1,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"UNLV"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","DAYRON.SHARPE","RJ.DAVIS","North Carolina",2.267,7,0,4,4,4,175,0,175,0.75,0,1,0,0,0,0.875,0,0.875,0,0.667,0,0,0,0.25,0.5,0.75,0,0,0.5,0,0,1,0,0.25,0.5,0.5,0.25,1,1,17,1,0.5,4,2,3,0,1,1,1,0,0,0,0,0,3,0,2,0,1,0,2,0,1,1,1,2,3,0,"Stanford"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","GARRISON.BROOKS","LEAKY.BLACK","North Carolina",1.85,8,1,4,3,3.5,228.571,28.571,200,0.75,0,0.5,0,1,1,0.875,0,0.894,0.202,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0.25,0.5,0.333,0,0,0,0,0,1,1,15.857,1.25,1,4,2,3,0,2,1,1,0,1,1,1,1,2,1,2,0,1,0,2,0,0,0,0,0,1,0,"Stanford"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","LEAKY.BLACK","PUFF.JOHNSON","North Carolina",2.4,4,2,4,4,4,100,50,50,0.5,0.333,0,0,0,0,0.5,0.333,0.5,0.333,0.333,0.5,1,0,0,0,0.75,0.667,0.25,0.333,0,0,0,1,0,0.25,0,0.25,0,1,18,1,0.75,4,3,2,1,0,0,0,0,0,0,0,0,3,2,1,1,0,0,2,2,0,1,0,1,0,1,"Stanford"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","LEAKY.BLACK","WALKER.KESSLER","North Carolina",1.033,0,6,3,3,3,0,200,-200,0,1,0,1,0,0.75,0,1.5,0,1.034,0,0,0,0,1,1,0,0,0,0,0,4,0,1,0.667,0,0,1,0,1,10.333,0.333,1,1,1,0,1,1,1,0,1,0,4,0,3,0,0,0,0,0,0,1,1,0,1,2,0,0,1,"Stanford"
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","RJ.DAVIS","WALKER.KESSLER","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Stanford"
"ANDREW.PLATEK","ARMANDO.BACOT","DAYRON.SHARPE","LEAKY.BLACK","RJ.DAVIS","North Carolina",0.617,2,1,1,2,1.5,133.333,66.667,66.667,1,0,0,0,0,1,1,0,1,1.053,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12.333,1,0.5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Stanford"
"ANDREW.PLATEK","CALEB.LOVE","DAYRON.SHARPE","GARRISON.BROOKS","KERWIN.WALTON","North Carolina",1.617,2,3,3,4,3.5,57.143,85.714,-28.571,0.25,0.5,0,0,0,0.5,0.25,0.5,0.25,0.508,1,0,0,1,0.25,0.5,0.25,0,0.5,0.5,0,1,0,0,0,0.333,0,0,0.333,1,13.857,1.333,0.75,4,2,1,1,1,1,0,0,0,2,0,1,1,0,1,0,1,0,1,2,0,0,0,1,0,0,"Stanford"
