P1,P2,P3,P4,P5,Team,Mins,PTS,oPTS,POSS,oPOSS,ePOSS,ORTG,DRTG,NETRTG,FG.,oFG.,TPP,oTPP,FTP,oFTP,eFG.,oeFG.,TS.,oTS.,RIM.,oRIM.,MID.,oMID.,TPrate,oTPrate,RIMrate,oRIMrate,MIDrate,oMIDrate,FTrate,oFTrate,ASTrate,oASTrate,TOrate,oTOrate,BLKrate,oBLKrate,ORB.,DRB.,PACE,ShotsPerPoss,oShotsPerPoss,FGA,oFGA,FGM,oFGM,TPA,oTPA,TPM,oTPM,FTA,oFTA,FTM,oFTM,RIMA,oRIMA,RIMM,oRIMM,ORB,oORB,DRB,oDRB,BLK,oBLK,TO,oTO,AST,oAST
BRANDON.ROBINSON,COLE.ANTHONY,GARRISON.BROOKS,LEAKY.BLACK,ROBBIE.OHAN,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRANDON.ROBINSON,COLE.ANTHONY,GARRISON.BROOKS,LEAKY.BLACK,SHEA.RUSH,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRANDON.ROBINSON,COLE.ANTHONY,JUSTIN.PIERCE,LEAKY.BLACK,SHEA.RUSH,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRANDON.ROBINSON,COLE.ANTHONY,JUSTIN.PIERCE,LEAKY.BLACK,WALKER.MILLER,North Carolina,0.567,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
BRANDON.ROBINSON,GARRISON.BROOKS,JEREMIAH.FRANCIS,JUSTIN.PIERCE,KJ.SMITH,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRANDON.ROBINSON,GARRISON.BROOKS,JEREMIAH.FRANCIS,JUSTIN.PIERCE,LEAKY.BLACK,North Carolina,28.833,49,58,53,57,55,89.091,105.455,-16.364,0.327,0.488,0.316,0.267,0.917,0.632,0.388,0.535,0.448,0.557,0.364,0.636,0.316,0.5,0.388,0.349,0.224,0.512,0.388,0.14,0.245,0.442,0.688,0.429,0.151,0.132,0.047,0.061,0.303,0.87,15.727,1.038,0.93,49,43,16,21,19,15,6,4,12,19,11,12,11,22,4,14,10,3,20,23,2,3,8,7,11,9
BRANDON.ROBINSON,GARRISON.BROOKS,JEREMIAH.FRANCIS,KJ.SMITH,LEAKY.BLACK,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRANDON.ROBINSON,GARRISON.BROOKS,JUSTIN.PIERCE,KJ.SMITH,LEAKY.BLACK,North Carolina,5.2,7,13,11,12,11.5,60.87,113.043,-52.174,0.5,0.5,0,0.5,0.167,1,0.5,0.6,0.395,0.621,1,0.667,0.5,0.333,0.167,0.4,0.167,0.3,0.667,0.3,1,0.1,0.333,0.4,0.182,0.182,0.1,0,0,0.8,13.565,0.818,0.917,6,10,3,5,1,4,0,2,6,1,1,1,1,3,1,2,0,1,4,4,1,0,2,2,1,2
BRANDON.ROBINSON,GARRISON.BROOKS,JUSTIN.PIERCE,LEAKY.BLACK,SHEA.RUSH,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRANDON.ROBINSON,GARRISON.BROOKS,JUSTIN.PIERCE,LEAKY.BLACK,WALKER.MILLER,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRANDON.ROBINSON,GARRISON.BROOKS,JUSTIN.PIERCE,ROBBIE.OHAN,SHEA.RUSH,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
