"ID","Date","Home","Away","Team","Player","MINS","POSS","FGM","FGA","FG.","TPM","TPA","TP.","FTM","FTA","FT.","RIMM","RIMA","RIM.","MIDM","MIDA","MID.","TS.","eFG.","PBACKM","PBACKA","PBACK.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","GS"
"4983025","11/30/2020","UNLV","North Carolina","North Carolina","KJ.SMITH",3.117,6,0,1,0,0,0,0,1,2,0.5,0,1,0,0,0,0,0.256,0,0,0,0,0,1,0,0,0,0,0,1,0.2
"4983025","11/30/2020","UNLV","North Carolina","North Carolina","LEAKY.BLACK",24.466,47,1,9,0.111,1,3,0.333,2,2,1,0,1,0,0,5,0,0.251,0.167,0,0,0,4,6,2,2,1,0,1,5,7.4
"4983025","11/30/2020","UNLV","North Carolina","North Carolina","PUFF.JOHNSON",3.167,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,-2.2
"4983025","11/30/2020","UNLV","North Carolina","North Carolina","RJ.DAVIS",27.784,50,5,9,0.556,3,4,0.75,3,3,1,1,1,1,1,4,0.25,0.767,0.722,0,0,0,2,4,1,0,0,1,1,16,13.6
"4983025","11/30/2020","UNLV","North Carolina","North Carolina","RYAN.MCADOO",3.8,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.7
"4983025","11/30/2020","UNLV","North Carolina","North Carolina","WALKER.KESSLER",14.45,26,3,3,1,0,0,0,1,1,1,3,3,1,0,0,0,1.007,1,3,3,1,4,2,0,1,0,0,0,7,10.5
"4983025","11/30/2020","UNLV","North Carolina","North Carolina","WALKER.MILLER",4.767,9,0,1,0,0,0,0,2,2,1,0,1,0,0,0,0,0.513,0,0,0,0,1,0,0,0,0,0,2,2,1.2
"4983142","12/01/2020","Stanford","North Carolina","North Carolina","ANDREW.PLATEK",15.483,29,1,3,0.333,0,1,0,2,2,1,0,0,0,1,2,0.5,0.506,0.333,0,0,0,0,1,0,2,0,2,1,4,2.2
"4983142","12/01/2020","Stanford","North Carolina","North Carolina","ARMANDO.BACOT",20.133,37,4,5,0.8,0,0,0,2,3,0.667,4,5,0.8,0,0,0,0.778,0.8,0,0,0,2,4,0,0,0,4,2,10,5.5
"4983142","12/01/2020","Stanford","North Carolina","North Carolina","CALEB.LOVE",36.067,63,6,18,0.333,2,6,0.333,2,2,1,1,6,0.167,3,6,0.5,0.422,0.389,0,0,0,1,2,2,0,1,5,3,16,3
"4983142","12/01/2020","Stanford","North Carolina","North Carolina","DAYRON.SHARPE",18.834,33,2,3,0.667,0,0,0,0,0,0,2,3,0.667,0,0,0,0.667,0.667,1,1,1,1,6,4,2,4,3,2,4,9
"4983142","12/01/2020","Stanford","North Carolina","North Carolina","GARRISON.BROOKS",29.466,52,4,8,0.5,0,0,0,2,5,0.4,3,4,0.75,1,4,0.25,0.482,0.5,0,1,0,5,4,1,0,0,0,4,10,8.6
"4983142","12/01/2020","Stanford","North Carolina","North Carolina","KERWIN.WALTON",7.766,16,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,2,0,-1.4
"4983142","12/01/2020","Stanford","North Carolina","North Carolina","LEAKY.BLACK",33.717,60,3,5,0.6,0,0,0,4,6,0.667,3,3,1,0,2,0,0.637,0.6,1,1,1,1,6,1,1,0,4,1,10,6.7
"4983142","12/01/2020","Stanford","North Carolina","North Carolina","PUFF.JOHNSON",2.4,4,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1.7
"4983142","12/01/2020","Stanford","North Carolina","North Carolina","RJ.DAVIS",26.966,47,3,8,0.375,2,4,0.5,3,3,1,0,0,0,1,4,0.25,0.584,0.5,0,0,0,1,3,1,0,0,3,3,11,4.7
"4983142","12/01/2020","Stanford","North Carolina","North Carolina","WALKER.KESSLER",9.167,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,-1.8
"4983295","12/02/2020","North Carolina","Texas","North Carolina","ANDREW.PLATEK",5.55,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.7
"4983295","12/02/2020","North Carolina","Texas","North Carolina","ARMANDO.BACOT",24.717,42,3,5,0.6,0,0,0,4,7,0.571,3,4,0.75,0,1,0,0.601,0.6,2,2,1,6,6,0,0,1,1,1,10,11.8
"4983295","12/02/2020","North Carolina","Texas","North Carolina","CALEB.LOVE",29.95,52,2,13,0.154,0,4,0,1,2,0.5,1,2,0.5,1,7,0.143,0.179,0.154,0,0,0,0,1,0,0,0,4,2,5,-8.2
"4983295","12/02/2020","North Carolina","Texas","North Carolina","DAYRON.SHARPE",16.533,30,4,6,0.667,0,0,0,0,1,0,4,6,0.667,0,0,0,0.618,0.667,3,4,0.75,4,1,1,0,1,1,2,8,7.7
"4983295","12/02/2020","North Carolina","Texas","North Carolina","GARRISON.BROOKS",30.317,51,7,12,0.583,0,0,0,4,7,0.571,2,5,0.4,5,7,0.714,0.587,0.583,2,2,1,3,4,0,0,2,1,3,18,13.7
"4983295","12/02/2020","North Carolina","Texas","North Carolina","KERWIN.WALTON",8.333,14,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,3,2
"4983295","12/02/2020","North Carolina","Texas","North Carolina","KJ.SMITH",3.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3
"4983295","12/02/2020","North Carolina","Texas","North Carolina","LEAKY.BLACK",34.267,61,3,7,0.429,0,0,0,2,3,0.667,1,2,0.5,2,5,0.4,0.475,0.429,0,0,0,2,8,2,1,0,1,2,8,8.3
"4983295","12/02/2020","North Carolina","Texas","North Carolina","PUFF.JOHNSON",5.733,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.4
"4983295","12/02/2020","North Carolina","Texas","North Carolina","RJ.DAVIS",32.767,57,3,11,0.273,0,2,0,5,7,0.714,2,5,0.4,1,4,0.25,0.384,0.273,0,1,0,1,3,3,1,0,3,2,11,4.6
"4983295","12/02/2020","North Carolina","Texas","North Carolina","WALKER.KESSLER",8.433,16,1,1,1,0,0,0,2,5,0.4,1,1,1,0,0,0,0.593,1,0,0,0,0,2,0,0,0,1,1,4,1.7
"4984928","12/12/2020","North Carolina","N.C. Central","North Carolina","ANDREW.PLATEK",14.417,25,4,6,0.667,2,3,0.667,1,1,1,2,2,1,0,1,0,0.849,0.833,0,0,0,0,0,1,1,0,1,1,11,8.7
"4984928","12/12/2020","North Carolina","N.C. Central","North Carolina","ARMANDO.BACOT",27.234,48,6,7,0.857,0,0,0,7,10,0.7,4,5,0.8,2,2,1,0.809,0.857,2,2,1,5,6,0,1,1,1,2,19,20.5
"4984928","12/12/2020","North Carolina","N.C. Central","North Carolina","CALEB.LOVE",31.583,55,4,9,0.444,0,2,0,4,5,0.8,2,3,0.667,2,4,0.5,0.527,0.444,0,0,0,0,3,4,3,1,6,3,12,7.1
"4984928","12/12/2020","North Carolina","N.C. Central","North Carolina","DAYRON.SHARPE",21.65,41,4,8,0.5,0,0,0,4,4,1,4,6,0.667,0,2,0,0.606,0.5,0,0,0,1,5,2,1,2,0,1,12,13.6
"4984928","12/12/2020","North Carolina","N.C. Central","North Carolina","GARRISON.BROOKS",23.316,40,1,3,0.333,0,0,0,3,4,0.75,1,1,1,0,2,0,0.51,0.333,1,1,1,3,1,1,0,0,1,2,5,4.2
"4984928","12/12/2020","North Carolina","N.C. Central","North Carolina","KERWIN.WALTON",11.167,21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,-0.7
"4984928","12/12/2020","North Carolina","N.C. Central","North Carolina","LEAKY.BLACK",23.233,42,1,3,0.333,0,2,0,1,2,0.5,1,1,1,0,0,0,0.38,0.333,1,1,1,1,6,1,1,1,2,2,3,3
"4984928","12/12/2020","North Carolina","N.C. Central","North Carolina","PUFF.JOHNSON",6.417,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7
"4984928","12/12/2020","North Carolina","N.C. Central","North Carolina","RJ.DAVIS",32.784,60,2,10,0.2,0,5,0,2,2,1,1,1,1,1,4,0.25,0.274,0.2,0,0,0,0,1,3,0,0,3,2,6,-1.6
"4984928","12/12/2020","North Carolina","N.C. Central","North Carolina","WALKER.KESSLER",7.533,16,1,2,0.5,0,1,0,3,3,1,1,1,1,0,0,0,0.73,0.5,0,0,0,0,1,0,0,1,3,2,5,1.2
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","ANDREW.PLATEK",23.683,46,2,6,0.333,1,3,0.333,1,2,0.5,1,2,0.5,0,1,0,0.432,0.417,0,0,0,1,3,2,0,0,1,4,6,2.6
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","ARMANDO.BACOT",28.734,46,5,8,0.625,0,0,0,4,6,0.667,4,5,0.8,1,3,0.333,0.645,0.625,1,1,1,5,3,1,0,2,0,2,14,15.3
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","CALEB.LOVE",30.101,54,4,14,0.286,0,5,0,3,3,1,3,3,1,1,6,0.167,0.357,0.286,0,0,0,0,0,6,0,0,2,4,11,3.4
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","CREIGHTON.LEBO",0.217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","DAYRON.SHARPE",20.45,37,3,8,0.375,0,1,0,1,4,0.25,1,4,0.25,2,3,0.667,0.354,0.375,1,2,0.5,6,5,2,0,0,2,3,7,5.3
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","GARRISON.BROOKS",26.334,47,5,7,0.714,0,1,0,1,3,0.333,3,3,1,2,3,0.667,0.653,0.714,0,0,0,2,4,1,1,1,3,4,11,7.7
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","KERWIN.WALTON",14.416,29,3,3,1,3,3,1,4,4,1,0,0,0,0,0,0,1.327,1.5,0,0,0,0,0,1,0,0,2,1,13,10.4
"4986035","12/19/2020","Kentucky","North Carolina","North Carolina","KJ.SMITH",0.217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
