"P1","P2","P3","P4","P5","Team","Mins","PTS","oPTS","POSS","oPOSS","ePOSS","ORTG","DRTG","NETRTG","FG.","oFG.","TPP","oTPP","FTP","oFTP","eFG.","oeFG.","TS.","oTS.","RIM.","oRIM.","MID.","oMID.","TPrate","oTPrate","RIMrate","oRIMrate","MIDrate","oMIDrate","FTrate","oFTrate","ASTrate","oASTrate","TOrate","oTOrate","BLKrate","oBLKrate","ORB.","DRB.","PACE","ShotsPerPoss","oShotsPerPoss","FGA","oFGA","FGM","oFGM","TPA","oTPA","TPM","oTPM","FTA","oFTA","FTM","oFTM","RIMA","oRIMA","RIMM","oRIMM","ORB","oORB","DRB","oDRB","BLK","oBLK","TO","oTO","AST","oAST"
"ANDREW.PLATEK","ANTHONY.HARRIS","DAYRON.SHARPE","RJ.DAVIS","WALKER.KESSLER","North Carolina",15.333,32,31,26,26,26,123.077,119.231,3.846,0.522,0.526,0.4,0.5,0.75,0.8,0.565,0.711,0.597,0.725,0.615,0.667,0.4,0.5,0.217,0.737,0.565,0.158,0.217,0.105,0.348,0.263,0.583,0.9,0.231,0.192,0.105,0.043,0.538,0.909,17.692,1.038,0.846,23,19,12,10,5,14,2,7,8,5,6,4,13,3,8,2,7,1,10,6,2,1,6,5,7,9
"ANDREW.PLATEK","ANTHONY.HARRIS","DUWE.FARRIS","KJ.SMITH","RYAN.MCADOO","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ANTHONY.HARRIS","GARRISON.BROOKS","LEAKY.BLACK","RJ.DAVIS","North Carolina",0.117,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ANDREW.PLATEK","ANTHONY.HARRIS","GARRISON.BROOKS","RJ.DAVIS","WALKER.KESSLER","North Carolina",2.267,6,0,4,3,3.5,171.429,0,171.429,0.75,0,0,0,0,0,0.75,0,0.67,0,1,0,0.667,0,0,0,0.25,0,0.75,1,0.25,0,0.333,0,0,0.25,0,0,1,1,19.429,1.25,0.667,4,2,3,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,1,0
"ANDREW.PLATEK","ANTHONY.HARRIS","KJ.SMITH","RYAN.MCADOO","WALKER.KESSLER","North Carolina",0.967,6,0,3,2,2.5,240,0,240,1,0,0,0,1,0,1,0,1.017,0,1,0,0,0,0,0,1,0,0,1,1,0,0.5,0,0,0.333,0,0,0,1,11.6,1,0.5,2,1,2,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,1,0,0,0,0,1,1,0
"ANDREW.PLATEK","ANTHONY.HARRIS","LEAKY.BLACK","RJ.DAVIS","WALKER.KESSLER","North Carolina",0,1,0,1,0,0.5,200,0,200,0,0,0,0,1,0,0,0,1.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ANTHONY.HARRIS","RJ.DAVIS","RYAN.MCADOO","WALKER.KESSLER","North Carolina",0.383,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ANTHONY.HARRIS","RJ.DAVIS","WALKER.KESSLER","WALKER.MILLER","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","DAYRON.SHARPE","GARRISON.BROOKS","North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","DAYRON.SHARPE","KERWIN.WALTON","North Carolina",4.6,15,3,11,9,10,150,30,120,0.625,0.2,0.667,0.333,1,0,0.75,0.3,0.796,0.3,0.667,0,0.5,0,0.375,0.6,0.375,0.2,0.25,0.2,0.375,0,1,1,0.091,0.455,0,0,0,0.75,13.8,0.909,0.556,8,5,5,1,3,3,2,1,3,0,3,0,3,1,2,0,0,1,3,3,0,0,1,5,5,1
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","DAYRON.SHARPE","LEAKY.BLACK","North Carolina",8.667,20,16,17,12,14.5,137.931,110.345,27.586,0.368,0.667,0,0,0.667,0.8,0.368,0.667,0.43,0.744,0.444,0.5,0.429,1,0.158,0.167,0.474,0.333,0.368,0.5,0.474,1.667,0.429,0.25,0.059,0.059,0.167,0.105,0.571,1,17.931,1.412,0.917,19,6,7,4,3,1,0,0,9,10,6,8,9,2,4,1,8,0,5,6,1,2,1,1,3,1
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","DAYRON.SHARPE","PUFF.JOHNSON","North Carolina",0.933,0,2,1,1,1,0,200,-200,0,0.333,0,0,0,0,0,0.333,0,0.333,0,0,0,1,1,0,0,0.667,0,0.333,0,0,0,0,0,0,0.333,0,0,0.333,28,1,3,1,3,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,0
"ANDREW.PLATEK","ARMANDO.BACOT","CALEB.LOVE","DAYRON.SHARPE","RJ.DAVIS","North Carolina",5.967,16,2,13,12,12.5,128,16,112,0.7,0,0.5,0,1,0.667,0.75,0,0.764,0.106,0.667,0,1,0,0.2,0.375,0.6,0,0.2,0.625,0.1,0.375,0.714,0,0.308,0.154,0.125,0.1,0.667,1,14.32,0.846,0.833,10,8,7,0,2,3,1,0,1,3,1,2,6,0,4,0,2,0,9,1,1,1,4,2,5,0
