active_from,active_to,college,height,name,position,weight,nba_3ptapg,nba_3ptpct,nba_3ptpg,nba_efgpct,nba_fg,nba_fg_per_game,nba_fga_per_game,nba_ft,nba_ft_per_g,nba_fta_p_g,nba_g_played,nba_ppg,ncaa_3ptapg,ncaa_3ptpct,ncaa_3ptpg,ncaa_efgpct,ncaa_fgapg,ncaa_fgpct,ncaa_fgpg,ncaa_ft,ncaa_ftapg,ncaa_ftpg,ncaa_games,ncaa_ppg,birth_year,career_length,bmi,age_entering_league
1976,1976,University of Akron,75,Nathaniel Barnett,G,175.0,0.1,0.0,0.0,0.462,0.462,1.0,2.2,0.375,0.3,0.7,12,2.3,,,,,,,,,,,,,1953.0,0,21.9,23
1963,1972,Tennessee State University,73,John Barnhill,G,180.0,2.8,0.23600000000000002,0.7,0.41600000000000004,0.406,3.4,8.5,0.6579999999999999,1.6,2.4,589,8.6,,,,,,,,,,,,,1938.0,9,23.7,25
1977,1977,Washington State University,76,Norton Barnhill,G,205.0,,,,,0.33299999999999996,0.5,1.5,,0.0,0.0,4,1.0,,,,,,,,,,,,,1953.0,0,25.0,24
1950,1954,University of Notre Dame,76,Leo Barnhorst,F,190.0,,,,,0.368,3.9,10.7,0.665,1.5,2.3,344,9.4,,,,,,,,,,,,,1924.0,4,23.1,26
1947,1947,Pennsylvania State University,75,John Barr,F,205.0,,,,,0.28300000000000003,2.1,7.6,0.595,0.8,1.4,58,5.1,,,,,,,,,,,,,1918.0,0,25.6,29
1973,1977,Duquesne University,75,Mike Barr,G,180.0,0.1,0.33299999999999996,0.0,0.48200000000000004,0.479,2.5,5.1,0.753,0.9,1.3,307,5.9,,,,,,,,,,,,,1950.0,4,22.5,23
1971,1971,Duquesne University,76,Moe Barr,G,195.0,,,,,0.40299999999999997,0.8,2.0,0.846,0.4,0.4,31,2.0,,,,,,,,,,,,,1944.0,0,23.7,27
2005,2008,Seton Hall University,70,Andre Barrett,G,172.0,1.0,0.24600000000000002,0.3,0.405,0.369,1.3,3.6,0.727,0.4,0.5,67,3.3,5.7,0.35100000000000003,2.0,0.492,12.4,0.415,5.1,0.773,3.9,3.0,122.0,15.3,1982.0,3,24.7,23
1954,1956,Kansas State University,75,Ernie Barrett,G,180.0,,,,,0.369,2.0,5.5,0.748,0.8,1.1,131,4.9,,,,,,,,,,,,,1929.0,2,22.5,25
1970,1973,West Virginia University Institute of Technology,74,Mike Barrett,G,155.0,1.6,0.31,0.5,0.461,0.44,5.2,11.8,0.746,2.4,3.3,187,13.4,,,,,,,,,,,,,1943.0,3,19.9,27
2006,2015,University of Memphis,85,Earl Barron,C,250.0,0.1,0.16699999999999998,0.0,0.373,0.371,1.8,4.9,0.7020000000000001,0.9,1.3,140,4.6,0.2,0.174,0.0,0.475,5.9,0.479,2.8,0.685,3.2,2.2,128.0,7.8,1981.0,9,24.3,25
1990,2004,Boston College,71,Dana Barros,G,163.0,3.1,0.41100000000000003,1.3,0.536,0.46,3.9,8.4,0.858,1.5,1.7,850,10.5,7.4,0.43200000000000005,3.2,0.582,14.6,0.473,6.9,0.841,4.0,3.4,119.0,19.7,1967.0,14,22.7,23
1996,2009,Oregon State University,78,Brent Barry,G,185.0,3.8,0.405,1.5,0.57,0.46,3.2,6.9,0.823,1.4,1.7,912,9.3,3.5,0.345,1.2,0.548,8.4,0.48,4.0,0.794,3.5,2.8,108.0,12.1,1971.0,13,21.4,25
