active_from,active_to,college,height,name,position,weight,nba_3ptapg,nba_3ptpct,nba_3ptpg,nba_efgpct,nba_fg,nba_fg_per_game,nba_fga_per_game,nba_ft,nba_ft_per_g,nba_fta_p_g,nba_g_played,nba_ppg,ncaa_3ptapg,ncaa_3ptpct,ncaa_3ptpg,ncaa_efgpct,ncaa_fgapg,ncaa_fgpct,ncaa_fgpg,ncaa_ft,ncaa_ftapg,ncaa_ftpg,ncaa_games,ncaa_ppg,birth_year,career_length,bmi,age_entering_league
1981,1991,Purdue University,85,Joe Barry Carroll,C,225.0,0.0,0.0,0.0,0.474,0.474,7.1,15.0,0.747,3.4,4.6,705,17.7,,,,,13.0,0.546,7.1,0.6509999999999999,5.3,3.5,123.0,17.7,1958.0,10,21.9,23
2004,2013,University of Notre Dame,78,Matt Carroll,G,212.0,2.0,0.384,0.7,0.48200000000000004,0.413,2.2,5.4,0.841,1.3,1.6,459,6.6,5.7,0.395,2.3,0.552,10.6,0.445,4.7,0.825,2.7,2.2,133.0,13.9,1980.0,9,24.5,24
1997,1997,Virginia Polytechnic Institute and State University,82,Jimmy Carruth,C,265.0,0.0,,0.0,0.667,0.667,0.5,0.8,1.0,0.3,0.3,4,1.3,0.0,,0.0,0.457,3.5,0.455,1.6,0.452,1.9,0.9,103.0,4.0,1969.0,0,27.7,28
2000,2012,University of Hawaii,73,Anthony Carter,G,190.0,0.7,0.25,0.2,0.423,0.40399999999999997,2.0,4.9,0.706,0.7,1.0,623,4.8,3.4,0.33,1.1,0.51,14.6,0.474,6.9,0.7140000000000001,4.8,3.4,58.0,18.4,1975.0,12,25.1,25
1981,1986,Indiana University,77,Butch Carter,G,180.0,0.5,0.307,0.1,0.485,0.475,3.6,7.5,0.7879999999999999,1.4,1.8,361,8.7,,,,,5.1,0.511,2.6,0.728,2.0,1.4,114.0,6.6,1958.0,5,21.3,23
1970,1977,Mount St. Mary's University,75,Fred Carter,G,185.0,,,,,0.425,6.4,15.1,0.693,2.4,3.4,611,15.2,,,,,,,,,,,,,1945.0,7,23.1,25
1968,1976,St. Bonaventure University,76,George Carter,F,210.0,0.3,0.301,0.1,0.449,0.445,6.8,15.3,0.813,4.4,5.4,479,18.1,,,,,,,,,,,,,1944.0,8,25.6,24
1984,1985,Louisiana State University,77,Howard Carter,G,215.0,0.3,0.22699999999999998,0.1,0.447,0.44,2.3,5.1,0.774,0.7,0.9,66,5.3,,,,,12.7,0.495,6.3,0.789,3.3,2.6,128.0,15.2,1961.0,1,25.5,23
1950,1950,East Texas State University,76,Jake Carter,F,195.0,,,,,0.307,1.0,3.1,0.679,1.5,2.2,24,3.4,,,,,,,,,,,,,1924.0,0,23.7,26
2004,2004,Louisiana State University,77,Maurice Carter,G,210.0,1.1,0.364,0.4,0.371,0.314,1.1,3.5,0.8,1.6,2.0,10,4.2,4.1,0.354,1.5,0.49,10.1,0.415,4.2,0.688,3.1,2.1,108.0,12.0,1976.0,0,24.9,28
1981,1982,"University of Hawaii, St. John's University",75,Reggie Carter,G,175.0,0.0,0.0,0.0,0.38799999999999996,0.38799999999999996,1.3,3.4,0.772,0.9,1.1,135,3.5,,,,,11.9,0.47200000000000003,5.6,0.816,4.6,3.8,100.0,15.1,1957.0,1,21.9,24
1979,1980,Virginia Military Institute,77,Ron Carter,G,190.0,0.0,,0.0,0.429,0.429,1.2,2.7,0.623,0.6,1.0,59,3.0,,,,,14.5,0.518,7.5,0.727,5.8,4.2,116.0,19.2,1956.0,1,22.5,23
1999,2018,University of North Carolina,78,Vince Carter,G,220.0,4.0,0.373,1.5,0.488,0.43700000000000006,6.4,14.7,0.799,3.4,4.3,1403,17.7,2.6,0.368,1.0,0.612,8.5,0.547,4.7,0.705,2.8,2.0,103.0,12.3,1977.0,19,25.4,22
2014,2018,Syracuse University,78,Michael Carter-Williams,G,190.0,1.9,0.25,0.5,0.424,0.402,4.3,10.7,0.7070000000000001,2.4,3.4,287,11.5,2.1,0.307,0.6,0.441,6.8,0.39799999999999996,2.7,0.679,3.2,2.2,66.0,8.2,1991.0,4,22.0,23
1980,1995,University of San Francisco,85,Bill Cartwright,C,245.0,0.0,0.0,0.0,0.525,0.525,4.8,9.2,0.7709999999999999,3.5,4.6,963,13.2,,,,,12.7,0.589,7.5,0.7340000000000001,5.6,4.1,111.0,19.1,1957.0,15,23.8,23
1969,1969,Oregon State University,80,Jay Carty,F,220.0,,,,,0.382,1.2,3.2,0.727,0.3,0.4,28,2.7,,,,,,,,,,,,,1941.0,0,24.2,28
2018,2018,Texas A&M University,77,Alex Caruso,G,186.0,1.0,0.257,0.3,0.479,0.433,1.2,2.8,0.708,0.5,0.7,35,3.1,2.0,0.34,0.7,0.516,6.1,0.455,2.8,0.685,2.5,1.7,137.0,8.0,1994.0,0,22.1,24
1977,1977,Bowling Green State University,80,Cornelius Cash,F,215.0,,,,,0.391,1.5,3.8,0.5,0.5,1.0,6,3.5,,,,,,,,,,,,,1952.0,0,23.6,25
1973,1973,"University of California, Riverside",80,Sam Cash,F,230.0,0.0,,0.0,0.222,0.222,0.6,2.6,0.706,1.7,2.4,7,2.9,,,,,,,,,,,,,1950.0,0,25.3,23
1994,2008,Florida State University,75,Sam Cassell,G,185.0,2.0,0.331,0.7,0.48,0.45399999999999996,5.7,12.6,0.861,3.6,4.2,993,15.7,4.5,0.366,1.6,0.54,13.9,0.478,6.7,0.7340000000000001,4.6,3.4,66.0,18.3,1969.0,14,23.1,25
2010,2018,,81,Omri Casspi,F,225.0,2.3,0.369,0.9,0.517,0.451,3.0,6.6,0.6779999999999999,1.2,1.8,552,8.0,,,,,,,,,,,,,1988.0,8,24.1,22
1975,1985,Hardin-Simmons University,81,Harvey Catchings,C,218.0,0.0,0.0,0.0,0.435,0.435,1.3,2.9,0.647,0.7,1.0,725,3.2,,,,,,,,,,,,,1951.0,10,23.4,24
1986,1993,University of South Alabama,80,Terry Catledge,F,220.0,0.1,0.094,0.0,0.485,0.485,5.0,10.3,0.654,2.7,4.1,515,12.7,0.0,,0.0,0.556,15.1,0.556,8.4,0.6629999999999999,7.4,4.9,86.0,21.7,1963.0,7,24.2,23
1972,1972,University of Notre Dame,78,Sid Catlett,F,230.0,,,,,0.222,0.2,1.0,0.222,0.2,1.0,9,0.7,,,,,,,,,,,,,1948.0,0,26.6,24
1998,2007,"University of South Alabama, Iowa State University",83,Kelvin Cato,C,255.0,0.0,0.077,0.0,0.507,0.507,2.1,4.1,0.644,1.3,2.0,541,5.5,0.0,0.0,0.0,0.43,7.9,0.434,3.4,0.584,3.8,2.2,79.0,9.1,1974.0,9,26.0,24
1982,1986,Auburn University,81,Bobby Cattage,F,250.0,0.1,0.14300000000000002,0.0,0.406,0.40399999999999997,1.1,2.8,0.765,0.8,1.1,78,3.1,,,,,8.4,0.47,3.9,0.698,2.2,1.6,104.0,9.4,1958.0,4,26.8,24
2016,2018,University of Kentucky,85,Willie Cauley-Stein,F,240.0,0.1,0.188,0.0,0.523,0.522,3.8,7.4,0.64,1.5,2.4,212,9.2,0.0,,0.0,0.589,5.6,0.593,3.3,0.508,2.8,1.4,105.0,8.0,1993.0,2,23.4,23
1991,2001,Temple University,85,Duane Causwell,C,240.0,0.0,0.28600000000000003,0.0,0.508,0.507,1.9,3.8,0.618,1.1,1.8,541,4.9,0.0,0.0,0.0,0.509,5.5,0.504,2.8,0.624,2.7,1.7,75.0,7.2,1968.0,10,23.4,23
2018,2018,George Washington University,81,Tyler Cavanaugh,F,239.0,2.3,0.36,0.8,0.546,0.441,1.7,3.9,0.81,0.4,0.5,39,4.7,3.0,0.37200000000000005,1.1,0.511,8.9,0.446,4.0,0.82,4.3,3.5,137.0,12.6,1994.0,0,25.6,24
1985,1989,Texas Southern University,85,Ron Cavenall,C,230.0,0.0,,0.0,0.337,0.337,0.5,1.5,0.545,0.4,0.8,58,1.4,,,,,4.9,0.486,2.4,0.557,1.4,0.8,95.0,5.5,1959.0,4,22.4,26
1991,2001,"California State University, Fullerton",78,Cedric Ceballos,F,190.0,1.2,0.309,0.4,0.518,0.5,5.6,11.2,0.753,2.7,3.6,609,14.3,2.7,0.305,0.8,0.484,18.2,0.46299999999999997,8.4,0.6709999999999999,6.7,4.5,58.0,22.1,1969.0,10,22.0,22
2000,2000,Villanova University,76,John Celestand,G,178.0,0.6,0.222,0.1,0.35600000000000004,0.33299999999999996,0.9,2.8,0.833,0.3,0.4,16,2.3,3.5,0.33,1.2,0.482,8.3,0.41,3.4,0.731,2.7,2.0,124.0,9.9,1977.0,0,21.7,23
1950,1953,,71,Al Cervi,G,170.0,,,,,0.359,2.0,5.6,0.8390000000000001,3.9,4.6,202,7.9,,,,,,,,,,,,,1917.0,3,23.7,33
2005,2005,Xavier University,73,Lionel Chalmers,G,180.0,1.4,0.245,0.3,0.384,0.336,1.2,3.5,0.625,0.4,0.7,36,3.1,5.1,0.37200000000000005,1.9,0.526,9.8,0.425,4.2,0.716,3.4,2.4,123.0,12.7,1980.0,0,23.7,25
2009,2018,University of Kansas,74,Mario Chalmers,G,190.0,3.3,0.35100000000000003,1.2,0.498,0.41700000000000004,3.0,7.2,0.792,1.7,2.2,644,8.9,3.9,0.419,1.6,0.578,8.3,0.486,4.0,0.767,3.2,2.5,110.0,12.2,1986.0,9,24.4,23
1973,1974,University of North Carolina,78,Bill Chamberlain,F,188.0,0.2,0.25,0.0,0.413,0.41,2.2,5.3,0.652,1.0,1.5,78,5.3,,,,,,,,,,,,,1949.0,1,21.7,24
1960,1973,University of Kansas,85,Wilt Chamberlain,C,275.0,,,,,0.54,12.1,22.5,0.511,5.8,11.4,1045,30.1,,,,,22.3,0.47,10.5,0.619,14.4,8.9,48.0,29.9,1936.0,13,26.8,24
1967,1974,University of Utah,77,Jerry Chambers,F,185.0,0.1,0.2,0.0,0.44,0.44,3.5,7.9,0.774,1.4,1.8,320,8.3,,,,,,,,,,,,,1943.0,7,21.9,24
1982,1998,University of Utah,82,Tom Chambers,F,220.0,0.7,0.307,0.2,0.47600000000000003,0.46799999999999997,6.7,14.2,0.807,4.6,5.7,1107,18.1,,,,,10.8,0.5529999999999999,6.0,0.665,4.1,2.7,116.0,14.6,1959.0,16,23.0,23
1989,1989,Gonzaga University,82,Mike Champion,F,230.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,,0.0,0.0,2,0.0,0.1,0.0,0.0,0.432,3.7,0.44,1.6,0.647,1.1,0.7,96.0,3.9,1964.0,0,24.0,25
2002,2018,,85,Tyson Chandler,C,240.0,0.0,0.0,0.0,0.596,0.596,3.2,5.4,0.6459999999999999,2.2,3.4,1079,8.6,,,,,,,,,,,,,1982.0,16,23.4,20
2008,2018,DePaul University,80,Wilson Chandler,F,225.0,3.9,0.341,1.3,0.501,0.445,5.2,11.8,0.769,1.7,2.2,588,13.5,2.6,0.303,0.8,0.482,11.4,0.445,5.1,0.659,3.0,2.0,59.0,12.9,1987.0,10,24.7,21
1969,1980,University of Houston,77,Don Chaney,G,210.0,0.1,0.2,0.0,0.43700000000000006,0.436,3.4,7.8,0.7759999999999999,1.6,2.0,790,8.4,,,,,12.5,0.43799999999999994,5.5,0.634,2.6,1.7,90.0,12.6,1946.0,11,24.9,23
1950,1950,Louisiana State University,75,John Chaney,F,185.0,,,,,0.29100000000000004,1.6,5.4,0.69,1.3,1.8,16,4.4,,,,,,,,,,,,,1920.0,0,23.1,30
1989,2000,University of Kentucky,76,Rex Chapman,G,185.0,3.5,0.35,1.2,0.47700000000000004,0.43,5.6,13.0,0.8,2.2,2.8,666,14.6,5.5,0.4,2.2,0.55,14.0,0.475,6.6,0.7709999999999999,2.8,2.1,61.0,17.6,1967.0,11,22.5,22
1969,1972,Western Kentucky University,78,Wayne Chapman,G,190.0,0.5,0.257,0.1,0.39299999999999996,0.38299999999999995,2.7,7.0,0.691,1.5,2.1,206,7.0,,,,,,,,,,,,,1945.0,3,22.0,24
1963,1972,Wake Forest University,80,Len Chappell,F,240.0,0.0,,0.0,0.452,0.452,3.6,8.1,0.6970000000000001,2.0,2.9,670,9.3,,,,,,,,,,,,,1941.0,9,26.4,22
1974,1978,Fordham University,75,Ken Charles,G,180.0,,,,,0.441,3.4,7.6,0.789,1.8,2.3,322,8.5,,,,,,,,,,,,,1951.0,4,22.5,23
1986,1986,North Carolina State University,79,Lorenzo Charles,F,225.0,0.0,,0.0,0.557,0.557,1.4,2.4,0.667,0.7,1.0,36,3.4,,,,,8.4,0.5529999999999999,4.6,0.703,4.2,2.9,126.0,12.2,1963.0,0,25.3,23
1994,2006,Indiana University,79,Calbert Cheaney,G,209.0,0.8,0.298,0.2,0.48,0.466,4.1,8.8,0.691,1.1,1.6,825,9.5,2.6,0.43799999999999994,1.1,0.598,13.8,0.5589999999999999,7.7,0.79,4.1,3.3,132.0,19.8,1971.0,12,23.5,23
1979,1993,West Texas A&M University,73,Maurice Cheeks,G,180.0,0.2,0.255,0.1,0.526,0.523,4.5,8.5,0.7929999999999999,2.1,2.7,1101,11.1,,,,,7.6,0.568,4.3,0.6779999999999999,4.3,2.9,106.0,11.6,1956.0,14,23.7,23
1972,1981,University of California,75,Phil Chenier,G,180.0,0.3,0.4,0.1,0.445,0.444,7.1,16.0,0.8059999999999999,2.9,3.6,578,17.2,,,,,13.7,0.41200000000000003,5.6,0.6829999999999999,3.3,2.2,51.0,13.5,1950.0,9,22.5,22
2015,2015,University of Montana,73,Will Cherry,G,185.0,1.1,0.222,0.3,0.316,0.263,0.6,2.4,0.5,0.4,0.8,8,1.9,3.1,0.285,0.9,0.474,9.8,0.43,4.2,0.718,4.9,3.5,116.0,12.8,1991.0,0,24.4,24
1989,1991,University of Missouri,79,Derrick Chievous,F,195.0,0.2,0.242,0.1,0.44799999999999995,0.44299999999999995,2.6,5.8,0.755,1.8,2.4,154,7.1,1.0,0.455,0.5,0.542,13.2,0.522,6.9,0.7929999999999999,7.4,5.9,130.0,19.8,1967.0,2,22.0,22
1992,2000,University of North Carolina,82,Pete Chilcutt,F,230.0,0.8,0.381,0.3,0.48100000000000004,0.441,1.8,4.1,0.696,0.4,0.5,584,4.3,0.4,0.345,0.1,0.546,6.5,0.534,3.5,0.71,1.7,1.2,140.0,8.2,1968.0,8,24.0,24
2005,2014,Stanford University,80,Josh Childress,G,210.0,0.8,0.32899999999999996,0.3,0.542,0.522,3.4,6.6,0.779,2.0,2.5,391,9.1,3.6,0.335,1.2,0.5,10.2,0.43799999999999994,4.5,0.755,2.8,2.2,86.0,12.3,1983.0,9,23.1,22
1996,1997,Wake Forest University,74,Randolph Childress,G,188.0,1.3,0.273,0.4,0.40299999999999997,0.32799999999999996,0.8,2.3,0.8,0.5,0.7,51,2.4,6.9,0.395,2.7,0.558,12.1,0.446,5.4,0.804,6.0,4.9,120.0,18.4,1972.0,1,24.1,24
1995,2003,Boise State University,75,Chris Childs,G,195.0,2.0,0.344,0.7,0.461,0.40299999999999997,2.4,5.9,0.816,1.4,1.7,541,6.9,3.3,0.42200000000000004,1.4,0.515,10.3,0.44299999999999995,4.6,0.818,3.7,3.0,118.0,13.6,1967.0,8,24.4,28
1950,1951,Canisius College,74,Leroy Chollet,F,190.0,,,,,0.29100000000000004,1.1,3.7,0.627,0.7,1.2,63,2.9,,,,,,,4.1,,,4.4,25.0,12.7,1925.0,1,24.4,25
1973,1982,Marquette University,83,Jim Chones,C,220.0,0.0,0.0,0.0,0.478,0.478,5.3,11.2,0.68,1.8,2.6,788,12.5,,,,,15.0,0.547,8.2,0.606,4.4,2.6,50.0,19.0,1949.0,9,22.5,24
2017,2018,University of Washington,82,Marquese Chriss,F,233.0,2.7,0.309,0.8,0.496,0.43799999999999994,3.2,7.2,0.617,1.4,2.2,154,8.5,1.8,0.35,0.6,0.566,9.9,0.53,5.3,0.682,3.8,2.6,34.0,13.7,1997.0,1,24.4,20
1955,1955,Fordham University,76,Fred Christ,G,210.0,,,,,0.278,0.8,3.0,0.909,1.7,1.8,6,3.3,,,,,,,,,,,,,1930.0,0,25.6,25
1951,1955,University of Toledo,77,Cal Christensen,F,210.0,,,,,0.33,1.7,5.1,0.606,1.8,3.0,291,5.2,,,,,,,,,,,,,1927.0,4,24.9,24
1970,1974,Grambling State University,82,Bob Christian,C,255.0,0.0,,0.0,0.485,0.485,1.4,2.9,0.7040000000000001,1.0,1.4,248,3.8,,,,,,,,,,,,,1946.0,4,26.7,24
1993,2007,Pepperdine University,78,Doug Christie,G,200.0,2.7,0.354,1.0,0.479,0.426,3.9,9.2,0.821,2.4,3.0,827,11.2,2.7,0.297,0.8,0.513,11.7,0.473,5.6,0.747,5.5,4.1,87.0,16.0,1970.0,14,23.1,23
2014,2014,Temple University,77,Dionte Christmas,G,205.0,1.0,0.29,0.3,0.42700000000000005,0.355,0.7,2.0,0.75,0.6,0.8,31,2.3,6.8,0.36,2.5,0.53,11.8,0.426,5.0,0.778,4.2,3.2,130.0,15.7,1986.0,0,24.3,28
2016,2017,Syracuse University,81,Rakeem Christmas,F,250.0,0.0,,0.0,0.467,0.467,0.7,1.5,0.7240000000000001,0.7,1.0,30,2.1,0.0,0.0,0.0,0.569,5.1,0.56,2.9,0.6809999999999999,2.4,1.6,142.0,7.4,1991.0,1,26.8,25
2017,2017,Xavier University,75,Semaj Christon,G,190.0,1.0,0.19,0.2,0.37200000000000005,0.345,1.2,3.5,0.5479999999999999,0.3,0.5,64,2.9,1.2,0.33799999999999997,0.4,0.48,12.3,0.462,5.7,0.67,6.6,4.4,64.0,16.2,1992.0,0,23.7,25
2015,2015,University of California,77,Patrick Christopher,G,209.0,1.0,0.0,0.0,0.25,0.25,0.8,3.0,,0.0,0.0,4,1.5,3.6,0.342,1.2,0.509,10.6,0.45,4.8,0.816,2.4,1.9,134.0,12.7,1988.0,0,24.8,27
1968,1970,University of Rhode Island,74,Stephen Chubin,G,200.0,0.2,0.196,0.0,0.401,0.39799999999999996,4.0,10.1,0.82,4.8,5.8,226,12.8,,,,,,,,,,,,,1944.0,2,25.7,24
1996,1996,Georgetown University,78,Robert Churchwell,G,195.0,0.0,,0.0,0.375,0.375,0.8,2.0,,0.0,0.0,4,1.5,1.0,0.369,0.4,0.471,8.7,0.444,3.9,0.716,2.3,1.7,128.0,9.8,1972.0,0,22.5,24
1967,1976,University of Minnesota,74,Archie Clark,G,175.0,,,,,0.48,6.5,13.5,0.769,3.4,4.4,725,16.3,,,,,,,,,,,,,1941.0,9,22.5,26
1984,1985,University of Mississippi,76,Carlos Clark,G,210.0,0.1,0.0,0.0,0.40700000000000003,0.40700000000000003,0.9,2.2,0.8029999999999999,0.6,0.8,93,2.4,,,,,11.0,0.547,6.0,0.7909999999999999,4.3,3.4,118.0,15.4,1960.0,1,25.6,24
2010,2015,University of Louisville,82,Earl Clark,F,225.0,1.0,0.32799999999999996,0.3,0.439,0.40299999999999997,1.7,4.3,0.664,0.6,0.9,261,4.4,1.8,0.298,0.5,0.494,8.6,0.467,4.0,0.64,3.2,2.0,104.0,10.6,1988.0,5,23.5,22
2014,2018,Belmont University,75,Ian Clark,G,175.0,1.8,0.344,0.6,0.521,0.452,2.1,4.6,0.784,0.5,0.6,268,5.3,6.0,0.425,2.6,0.604,10.6,0.484,5.1,0.81,2.0,1.6,133.0,14.4,1991.0,4,21.9,23
1999,2004,"University of Nevada, Las Vegas",83,Keon Clark,F,220.0,0.1,0.053,0.0,0.5,0.5,3.3,6.7,0.645,1.5,2.3,353,8.2,0.7,0.37,0.3,0.572,10.4,0.5539999999999999,5.8,0.638,4.7,3.0,39.0,14.8,1975.0,5,22.5,24
1968,1969,Eastern Kentucky University,76,Richard Clark,G,190.0,0.3,0.055999999999999994,0.0,0.297,0.29600000000000004,1.9,6.4,0.675,2.4,3.5,58,6.2,,,,,,,,,,,,,1944.0,1,23.1,24
2016,2016,University of Arkansas,79,Coty Clarke,F,232.0,0.7,1.0,0.7,0.75,0.5,0.7,1.3,,0.0,0.0,3,2.0,1.2,0.442,0.5,0.517,5.9,0.469,2.8,0.777,3.2,2.5,65.0,8.6,1992.0,0,26.1,24
2015,2018,"University of Tulsa, University of Missouri",77,Jordan Clarkson,G,194.0,3.7,0.337,1.3,0.494,0.44299999999999995,5.5,12.4,0.8059999999999999,1.9,2.4,299,14.2,3.2,0.322,1.0,0.483,11.6,0.44,5.1,0.805,5.2,4.2,93.0,15.4,1992.0,3,23.0,23
2018,2018,Colorado State University,76,Gian Clavell,G,185.0,2.1,0.4,0.9,0.5,0.33299999999999996,0.9,2.6,1.0,0.3,0.3,7,2.9,5.9,0.36200000000000004,2.1,0.508,11.9,0.418,5.0,0.698,4.4,3.1,70.0,15.2,1993.0,0,22.5,25
2013,2015,,81,Victor Claver,F,224.0,1.5,0.293,0.4,0.466,0.39799999999999996,1.3,3.1,0.585,0.3,0.5,80,3.2,,,,,,,,,,,,,1988.0,2,24.0,25
1969,1969,University of Michigan,76,John Clawson,F,200.0,0.0,,0.0,0.47600000000000003,0.47600000000000003,2.1,4.4,0.685,0.5,0.8,70,4.7,,,,,,,,,,,,,1944.0,0,24.3,25
1996,1996,University of Georgia,85,Charles Claxton,C,265.0,0.0,,0.0,0.5,0.5,0.3,0.7,0.0,0.0,0.7,3,0.7,0.1,0.3,0.0,0.544,7.9,0.542,4.3,0.493,4.8,2.4,116.0,11.0,1970.0,0,25.8,26
2002,2009,Hofstra University,71,Speedy Claxton,G,166.0,0.7,0.193,0.1,0.41700000000000004,0.409,3.4,8.2,0.762,2.4,3.2,334,9.3,1.7,0.322,0.5,0.488,12.6,0.46799999999999997,5.9,0.748,6.1,4.5,119.0,16.9,1978.0,7,23.1,24
1972,1980,Ohio State University,75,Jim Cleamons,G,185.0,0.4,0.226,0.1,0.461,0.46,3.4,7.5,0.765,1.4,1.8,652,8.3,,,,,12.9,0.542,7.0,0.7609999999999999,5.9,4.5,72.0,18.5,1949.0,8,23.1,23
2001,2006,Michigan State University,74,Mateen Cleaves,G,205.0,0.3,0.267,0.1,0.39899999999999997,0.389,1.4,3.6,0.728,0.8,1.1,167,3.6,3.7,0.313,1.2,0.463,10.8,0.406,4.4,0.738,3.5,2.6,123.0,12.5,1977.0,5,26.3,24
1966,1976,Ohio Wesleyan University,78,Barry Clemens,F,210.0,,,,,0.45399999999999996,2.9,6.3,0.7559999999999999,1.0,1.3,790,6.7,,,,,,,,,,,,,1943.0,10,24.3,23
2018,2018,Southeast Missouri State University,78,Antonius Cleveland,G,195.0,0.2,0.667,0.1,0.368,0.316,0.4,1.2,0.667,0.3,0.4,16,1.1,1.8,0.28800000000000003,0.5,0.515,9.8,0.494,4.8,0.612,4.4,2.7,121.0,12.9,1994.0,0,22.5,24
1951,1958,Xavier University of Louisiana,78,Nat Clifton,C,220.0,,,,,0.361,3.8,10.6,0.633,2.4,3.7,544,10.0,,,,,,,,,,,,,1922.0,7,25.4,29
1950,1952,Rice University,77,Bill Closs,F,195.0,,,,,0.315,3.3,10.3,0.718,2.5,3.4,186,9.0,,,,,,,,,,,,,1922.0,2,23.1,28
1998,2000,Central Connecticut State University,87,Keith Closs,C,212.0,0.0,0.0,0.0,0.47100000000000003,0.47100000000000003,1.5,3.3,0.606,0.8,1.3,130,3.9,0.6,0.233,0.1,0.534,8.9,0.5329999999999999,4.7,0.601,3.9,2.3,54.0,11.9,1976.0,2,19.7,22
1950,1950,University of Wisconsin,74,Paul Cloyd,G,180.0,,,,,0.26899999999999996,1.0,3.7,0.625,0.7,1.1,7,2.7,,,,,,,,,,,,,1920.0,0,23.1,30
1947,1947,University of Kentucky,82,Bob Cluggish,C,235.0,,,,,0.261,1.7,6.6,0.5710000000000001,1.0,1.7,54,4.4,,,,,,,,,,,,,1917.0,0,24.6,30
1975,1975,Florida State University,79,Ben Clyde,F,198.0,,,,,0.431,1.2,2.9,0.778,0.3,0.4,25,2.8,,,,,,,,,,,,,1951.0,0,22.3,24
1991,1991,University of Minnesota,78,Richard Coffey,F,212.0,0.0,0.0,0.0,0.373,0.373,0.5,1.4,0.545,0.2,0.4,52,1.3,0.0,0.0,0.0,0.515,6.8,0.516,3.5,0.635,1.8,1.2,109.0,8.2,1965.0,0,24.5,26
1986,1987,"University of Oregon, Eastern Michigan University",75,Fred Cofield,G,190.0,0.3,0.188,0.1,0.40299999999999997,0.395,1.5,3.9,0.6,0.2,0.4,50,3.4,,,,,13.2,0.47100000000000003,6.2,0.8009999999999999,2.9,2.3,106.0,14.7,1962.0,1,23.7,24
1996,2001,Boise State University,85,John Coker,C,253.0,0.0,,0.0,0.409,0.409,0.7,1.8,0.833,0.2,0.2,25,1.6,0.0,,0.0,0.547,9.5,0.551,5.2,0.5920000000000001,3.1,1.8,84.0,12.3,1971.0,5,24.6,25
2012,2017,Cleveland State University,74,Norris Cole,G,175.0,1.8,0.324,0.6,0.449,0.40700000000000003,2.8,6.9,0.743,0.8,1.1,360,7.0,3.1,0.321,1.0,0.477,11.1,0.435,4.8,0.826,4.2,3.5,140.0,14.1,1988.0,5,22.5,24
1987,1994,"University of Minnesota, University of Maryland",81,Ben Coleman,F,235.0,0.0,0.0,0.0,0.516,0.516,2.6,5.0,0.759,1.4,1.9,227,6.6,,,,,8.5,0.5479999999999999,4.7,0.674,3.2,2.1,102.0,11.5,1961.0,7,25.2,26
1991,2005,Syracuse University,82,Derrick Coleman,F,230.0,1.4,0.295,0.4,0.462,0.447,5.9,13.2,0.769,4.3,5.5,781,16.5,0.4,0.29100000000000004,0.1,0.574,9.5,0.568,5.4,0.684,6.0,4.1,143.0,15.0,1967.0,14,24.0,24
1974,1979,Houston Baptist University,80,E.C. Coleman,F,225.0,,,,,0.46399999999999997,3.1,6.7,0.6940000000000001,1.0,1.4,357,7.2,,,,,,,,,,,,,1950.0,5,24.7,24
1950,1958,University of Louisville,79,Jack Coleman,F,195.0,,,,,0.41600000000000004,4.4,10.7,0.695,1.7,2.5,633,10.6,,,,,,,,,,,,,1924.0,8,22.0,26
1988,1988,Kansas State University,80,Norris Coleman,F,210.0,0.1,0.5,0.0,0.348,0.34600000000000003,2.3,6.6,0.556,0.7,1.2,29,5.3,0.7,0.077,0.1,0.518,16.9,0.515,8.7,0.747,5.3,4.0,47.0,21.3,1961.0,0,23.1,27
1991,2004,Virginia Polytechnic Institute and State University,73,Bimbo Coles,G,180.0,1.1,0.267,0.3,0.447,0.425,3.0,7.0,0.8109999999999999,1.5,1.8,852,7.8,4.0,0.324,1.3,0.469,17.6,0.429,7.6,0.748,6.9,5.2,115.0,21.6,1968.0,13,23.7,23
2001,2005,"Indiana University, Georgia Institute of Technology",85,Jason Collier,C,260.0,0.1,0.35,0.0,0.46,0.455,2.2,4.9,0.738,1.0,1.4,151,5.6,1.9,0.369,0.7,0.486,10.8,0.45799999999999996,4.9,0.711,4.6,3.3,97.0,13.9,1977.0,4,25.3,24
1981,1981,St. Thomas University,76,Art Collins,G,185.0,0.1,0.0,0.0,0.354,0.354,1.2,3.4,0.667,0.8,1.2,29,3.2,,,,,,,,,,,,,1954.0,0,22.5,27
1981,1987,Washington State University,78,Don Collins,F,190.0,0.1,0.069,0.0,0.485,0.485,4.1,8.4,0.7490000000000001,1.7,2.3,303,9.8,,,,,10.3,0.56,5.8,0.772,4.1,3.2,106.0,14.7,1958.0,6,22.0,23
1974,1981,Illinois State University,78,Doug Collins,G,180.0,0.0,0.0,0.0,0.501,0.501,7.1,14.1,0.833,3.8,4.5,415,17.9,,,,,16.5,0.7040000000000001,11.6,0.823,7.1,5.9,77.0,29.1,1951.0,7,20.8,23
1998,1998,Florida State University,76,James Collins,G,196.0,0.9,0.45,0.4,0.46399999999999997,0.382,0.9,2.4,0.5710000000000001,0.3,0.6,23,2.6,6.1,0.37200000000000005,2.3,0.543,12.8,0.45,5.8,0.679,3.3,2.2,112.0,16.0,1973.0,0,23.9,25
